origin,destination,number_of_appearance
3411,3409,65
301,394,10
307,301,10
3412,274,14
319,3002,11
3412,467,21
3412,3054,1
3412,3440,1
258,2005,5
274,258,1
3412,3486,6
307,296,9
307,350,14
3455,399,1
3412,3455,1
3669,3394,16
3412,3669,1
3412,83,4
3412,323,2
307,317,20
416,262,5
3412,416,1
3412,3399,1
3410,325,1
505,472,8
3065,3069,13
383,3686,14
369,383,14
498,167,7
505,498,7
3412,3574,1
3347,3342,7
3412,3347,1
316,306,14
307,3632,6
533,3466,9
445,394,1
322,445,2
316,319,29
360,3002,2
3440,3410,1
391,2005,4
316,3489,1
391,3674,3
391,414,1
3073,3074,2
391,3073,1
391,262,1
3403,3399,17
3105,3108,1
322,3105,1
3440,3409,4
391,3347,5
360,306,6
282,394,1
2005,282,8
313,3062,1
2005,313,1
419,324,1
2005,419,6
421,467,2
2005,421,2
419,391,1
282,3073,9
3648,399,2
343,3648,9
2005,343,11
241,3429,2
419,241,2
3648,323,1
3648,418,4
443,317,2
282,3113,7
419,262,1
3107,3108,2
282,3107,2
343,3637,1
3115,3125,1
282,3115,1
2001,3674,5
3648,2001,5
3361,3297,1
419,3361,1
343,3574,1
3584,364,14
3584,3423,2
3069,3071,35
3064,3062,24
3064,3054,3
3062,3411,2
297,402,6
3071,262,18
297,325,7
3086,3106,3
3073,282,5
387,3461,9
3078,2005,1
3068,3074,1
3456,3106,2
3069,3456,2
3073,3088,2
3429,262,6
3625,3560,5
3556,3625,5
3126,3556,5
3386,3382,72
3396,398,1
3386,3403,5
3055,3054,3
364,3055,3
3329,3411,1
3386,3329,1
143,391,3
3386,143,5
322,2005,1
143,322,1
3386,3308,1
3396,3394,1
3386,3335,4
3396,3398,3
3386,83,1
3398,3399,1
293,325,5
3396,167,1
3386,3576,1
3396,3342,1
3629,3518,17
3629,3533,87
3629,3505,19
3531,3383,1
3615,3126,271
3531,3534,4
450,495,6
3622,3490,2
3629,3622,3
3244,438,10
369,3244,71
3431,476,7
3345,3431,35
3295,3345,9
3341,3350,3
3531,3541,1
3629,3542,1
3244,3263,59
3622,3499,2
3363,3294,2
3629,3363,1
152,309,13
3518,3534,1
3509,3551,26
3518,3649,1
3509,3345,1
3529,3622,1
305,3243,2
3509,3363,1
3572,3603,28
3168,3295,16
3283,3314,2
3168,3283,2
3168,3629,1
3168,3521,1
3143,3155,2
3400,3551,2
3282,3400,2
3375,3131,2
3143,3375,2
3164,3356,4
3168,3164,2
3293,3350,3
3168,3293,1
3553,3541,3
3370,3140,8
3143,3370,1
3168,3148,4
403,394,2
3435,403,2
417,3002,1
330,417,2
355,330,1
296,307,11
376,360,1
355,376,2
3435,350,3
403,432,2
324,262,23
3463,325,1
3435,3463,1
295,3106,2
355,295,1
355,79,5
376,259,9
486,540,5
308,279,3
3435,2010,1
355,309,2
350,151,65
350,394,1
295,259,7
350,295,5
350,307,57
311,309,6
3384,3669,22
350,317,1
350,3083,2
350,3263,1
350,325,1
350,349,1
350,540,1
350,3431,1
3544,3574,8
350,331,1
307,2010,4
350,282,1
350,3632,1
3085,3088,3
350,3085,2
411,3485,5
356,411,7
350,356,1
399,324,24
366,394,1
399,366,1
399,364,23
399,467,9
399,3054,1
399,396,3
399,3232,1
399,258,1
399,3584,6
399,3429,2
399,323,1
399,3648,1
399,262,1
399,3637,4
399,3106,1
399,3574,1
313,282,1
399,313,1
3057,3052,2
3056,3057,1
399,3056,1
495,479,13
495,173,77
495,450,30
495,529,28
3338,3495,12
3318,3338,10
495,523,1
495,478,2
