start station id,end station id,tripduration
72,502,2220
72,503,1122
72,504,1473
72,505,833
72,507,1217
72,508,140
72,509,691
72,513,201
72,514,322
72,515,351
72,516,866
72,517,817
72,518,1017
72,519,812
72,520,486
72,522,642
72,523,516
72,524,701
72,525,338
72,526,918
72,528,1093
72,529,392
72,530,149
72,531,1739
72,532,2122
72,533,602
72,534,1577
72,536,1158
72,537,1039
72,539,2317
72,540,1000
72,545,1271
72,546,936
72,2000,2071
72,2001,2355
72,2002,2405
72,2003,1361
72,2005,3042
72,2006,587
72,2008,1403
72,2009,1943
72,2010,1400
72,2012,1233
72,2021,447
72,2022,1078
72,2023,791
72,3002,1362
72,3016,2466
72,3041,3227
72,3042,3456
72,3043,3427
72,3044,3336
72,3046,3287
72,3047,3174
72,3048,3065
72,3049,2759
72,3050,3214
72,3052,3301
72,3053,2911
72,3054,3041
72,3055,2905
72,3056,2885
72,3057,2923
72,3058,3075
72,3059,2985
72,3060,2862
72,3061,2876
72,3062,2824
72,3063,2758
72,3064,3030
72,3065,2623
72,3066,2667
72,3067,2637
72,3068,2672
72,3069,2551
72,3070,2624
72,3071,2518
72,3072,2511
72,3073,2432
72,3074,2620
72,3075,2424
72,3076,2503
72,3077,2441
72,3078,2310
72,3080,2436
72,3081,2543
72,3082,2436
72,3083,2638
72,3085,2278
72,3086,2623
72,3087,2369
72,3088,2387
72,3090,2358
72,3091,2529
72,3092,2416
72,3093,2360
72,3094,2650
72.0,3095.0,
72,3096,2401
72,3100,2528
72,3101,2524
72,3102,2547
72,3103,2552
72,3105,2536
72,3106,2415
72,3107,2587
72,3108,2400
72,3109,2433
72,3110,2390
72,3112,2407
72,3113,2341
72,3115,2307
72,3116,2287
72,3117,2285
72,3118,2214
72,3119,1944
72,3120,2061
72,3121,1688
72,3122,1904
72,3123,1751
72,3124,1843
72,3125,1778
72,3126,1596
72,3127,1720
72,3128,1599
72,3129,1443
72,3130,1557
72,3131,1075
72,3132,711
72,3134,926
72,3135,1391
72,3136,854
72,3137,905
72,3139,912
72,3140,1323
72,3141,1153
72,3142,1028
72,3143,1126
72,3144,1155
72,3145,1156
72,3146,1236
72,3147,1591
72,3148,1514
72,3150,1483
72,3151,1493
72,3152,1097
72,3155,943
72,3156,1296
72,3157,1442
72,3158,588
72,3159,563
72,3160,985
72,3161,632
72,3162,528
72,3163,765
72,3164,576
72,3165,672
72,3166,587
72,3167,557
72,3168,910
72,3169,780
72,3170,814
72,3171,705
72,3172,639
72,3173,321
72,3175,420
72,3176,257
72,3177,686
72,3178,684
72,3179,2855
72,3180,2195
72,3182,2037
72,3183,1742
72,3184,1686
72,3185,1933
72,3186,1979
72,3187,1948
72,3191,2650
72,3192,2186
72,3193,2690
72,3194,2471
72,3195,2612
72,3196,2820
72,3198,1811
72,3199,2140
72,3201,2875
72,3202,2100
72,3203,2248
72,3205,2053
72,3206,2444
72,3207,2686
72,3209,2186
72,3210,2861
72,3211,2067
72,3212,2607
72,3213,2000
72,3214,1759
72,3220,2550
72,3221,1835
72,3223,781
72,3225,2410
72,3226,898
72,3231,984
72,3232,2112
72,3233,562
72,3235,727
72,3236,364
72,3241,3081
72,3242,2081
72,3243,966
72,3244,1283
72,3249,3166
72,3254,1963
72,3255,666
72,3256,992
72,3258,637
72,3260,1250
72,3263,1447
72,3267,1799
72,3268,2231
72,3269,2290
72,3270,2202
72,3272,2155
72,3273,2055
72,3275,1891
72,3276,1880
72,3277,2385
72,3278,2175
72,3279,2107
72,3280,2456
72,3281,3027
72,3282,1233
72,3283,1042
72,3284,1337
72,3285,824
72,3286,1537
72,3288,1533
72,3289,852
72,3290,1536
72,3292,1425
72,3293,831
72,3294,1403
72,3295,1066
72,3296,1670
72,3297,2945
72,3298,2237
72,3299,1423
72,3300,3072
72,3301,1294
72,3302,1294
72,3303,2347
72,3304,2838
72,3305,1436
72,3306,2974
72,3307,1117
72,3308,2238
72,3309,1497
72,3310,3052
72,3311,2347
72,3312,1574
72,3313,2902
72,3314,1222
72,3315,2288
72,3317,2825
72,3318,1520
72,3319,2879
72,3320,1156
72,3321,2406
72,3322,2737
72,3323,1332
72,3324,2691
72,3326,2783
72,3327,1529
72,3328,1345
72,3329,2402
72,3330,2756
72,3331,1141
72,3332,2266
72,3333,2667
72,3335,2523
72,3336,1410
72,3337,2716
72,3338,1751
72,3339,2608
72,3340,2679
72,3341,1184
72,3342,2608
72,3343,1362
72,3344,2605
72,3345,1416
72,3346,2696
72,3347,2615
72,3348,2736
72,3349,2847
72,3350,1180
72,3351,1771
72,3352,2710
72,3354,3016
72,3355,915
72,3356,391
72,3357,1273
72,3358,2888
72,3359,917
72,3360,631
72,3361,2710
72,3362,1065
72,3363,1552
72,3364,2601
72,3365,2843
72,3366,1203
72,3367,1497
72,3368,2647
72,3369,1479
72,3370,1152
72,3371,2618
72,3372,1274
72,3373,2532
72,3374,1488
72,3375,1043
72,3376,1011
72,3377,2382
72,3378,973
72,3379,1592
72,3381,2420
72,3382,2490
72,3383,1188
72,3384,2513
