,startid,endid
403,3505,3499
407,3622,3504
408,3622,3499
412,3499,3504
413,3499,3499
417,3504,3504
418,3504,3499
422,3507,3504
423,3507,3499
425,394,394
426,394,339
427,394,3632
428,394,445
429,394,266
430,339,394
431,339,339
432,339,3632
433,339,445
434,339,266
435,3632,394
436,3632,339
437,3632,3632
438,3632,445
439,3632,266
440,445,394
441,445,339
442,445,3632
443,445,445
444,445,266
445,266,394
446,266,339
447,266,3632
448,266,445
449,266,266
450,394,3603
451,394,3602
452,394,3605
453,394,3593
454,394,3666
455,339,3603
456,339,3602
457,339,3605
458,339,3593
459,339,3666
460,3632,3603
461,3632,3602
462,3632,3605
463,3632,3593
464,3632,3666
465,445,3603
466,445,3602
467,445,3605
468,445,3593
469,445,3666
470,266,3603
471,266,3602
472,266,3605
473,266,3593
474,266,3666
475,394,2008
476,394,304
477,394,427
478,394,534
479,394,259
480,339,2008
481,339,304
482,339,427
483,339,534
484,339,259
485,3632,2008
486,3632,304
487,3632,427
488,3632,534
489,3632,259
490,445,2008
491,445,304
492,445,427
493,445,534
494,445,259
495,266,2008
496,266,304
497,266,427
498,266,534
499,266,259
500,394,3002
501,394,363
502,394,327
503,394,309
504,394,195
505,339,3002
506,339,363
507,339,327
508,339,309
509,339,195
510,3632,3002
511,3632,363
512,3632,327
513,3632,309
514,3632,195
515,445,3002
516,445,363
517,445,327
518,445,309
519,445,195
520,266,3002
521,266,363
522,266,327
523,266,309
524,266,195
525,394,3477
526,394,3478
527,394,3324
528,394,3322
529,394,3319
530,339,3477
531,339,3478
532,339,3324
533,339,3322
534,339,3319
535,3632,3477
536,3632,3478
537,3632,3324
538,3632,3322
539,3632,3319
540,445,3477
541,445,3478
542,445,3324
543,445,3322
544,445,3319
545,266,3477
546,266,3478
547,266,3324
548,266,3322
549,266,3319
550,394,3054
551,394,3050
552,394,3241
553,394,3052
554,394,3057
555,339,3054
556,339,3050
557,339,3241
558,339,3052
559,339,3057
560,3632,3054
561,3632,3050
562,3632,3241
563,3632,3052
564,3632,3057
565,445,3054
566,445,3050
567,445,3241
568,445,3052
569,445,3057
570,266,3054
571,266,3050
572,266,3241
573,266,3052
574,266,3057
577,394,3423
578,394,3310
579,394,3300
582,339,3423
583,339,3310
584,339,3300
587,3632,3423
588,3632,3310
589,3632,3300
592,445,3423
593,445,3310
594,445,3300
597,266,3423
598,266,3310
599,266,3300
625,394,3350
626,394,3331
627,394,3689
628,394,3366
629,394,3357
630,339,3350
631,339,3331
632,339,3689
633,339,3366
634,339,3357
635,3632,3350
636,3632,3331
637,3632,3689
638,3632,3366
639,3632,3357
640,445,3350
641,445,3331
642,445,3689
643,445,3366
644,445,3357
645,266,3350
646,266,3331
647,266,3689
648,266,3366
649,266,3357
650,394,3412
651,394,3411
652,394,3410
653,394,3413
654,394,3486
655,339,3412
656,339,3411
657,339,3410
658,339,3413
659,339,3486
660,3632,3412
661,3632,3411
662,3632,3410
663,3632,3413
664,3632,3486
665,445,3412
666,445,3411
667,445,3410
668,445,3413
669,445,3486
670,266,3412
671,266,3411
672,266,3410
673,266,3413
674,266,3486
676,394,3599
677,394,3601
681,339,3599
682,339,3601
686,3632,3599
687,3632,3601
691,445,3599
692,445,3601
696,266,3599
697,266,3601
700,394,391
701,394,406
702,394,322
703,394,314
704,394,407
705,339,391
706,339,406
707,339,322
708,339,314
709,339,407
710,3632,391
711,3632,406
712,3632,322
713,3632,314
714,3632,407
715,445,391
716,445,406
717,445,322
718,445,314
719,445,407
720,266,391
721,266,406
722,266,322
723,266,314
724,266,407
725,394,2005
726,394,343
727,394,282
728,394,3648
729,394,313
730,339,2005
731,339,343
732,339,282
733,339,3648
734,339,313
735,3632,2005
736,3632,343
737,3632,282
738,3632,3648
739,3632,313
740,445,2005
741,445,343
742,445,282
743,445,3648
744,445,313
745,266,2005
746,266,343
747,266,282
748,266,3648
749,266,313
751,394,3064
752,394,3058
753,394,3059
754,394,3179
756,339,3064
757,339,3058
758,339,3059
759,339,3179
761,3632,3064
762,3632,3058
763,3632,3059
764,3632,3179
766,445,3064
767,445,3058
768,445,3059
769,445,3179
771,266,3064
772,266,3058
773,266,3059
774,266,3179
800,394,3396
801,394,3386
802,394,3384
803,394,3321
804,394,3388
805,339,3396
806,339,3386
807,339,3384
808,339,3321
809,339,3388
810,3632,3396
811,3632,3386
812,3632,3384
813,3632,3321
814,3632,3388
815,445,3396
816,445,3386
817,445,3384
818,445,3321
819,445,3388
820,266,3396
821,266,3386
822,266,3384
823,266,3321
824,266,3388
825,394,3531
826,394,3629
827,394,3529
828,394,3510
829,394,3518
830,339,3531
831,339,3629
832,339,3529
833,339,3510
834,339,3518
835,3632,3531
836,3632,3629
837,3632,3529
838,3632,3510
839,3632,3518
840,445,3531
841,445,3629
842,445,3529
843,445,3510
844,445,3518
845,266,3531
846,266,3629
847,266,3529
848,266,3510
849,266,3518
875,394,3168
876,394,3226
877,394,3282
878,394,3170
879,394,3143
880,339,3168
881,339,3226
882,339,3282
883,339,3170
884,339,3143
885,3632,3168
886,3632,3226
887,3632,3282
888,3632,3170
889,3632,3143
890,445,3168
891,445,3226
892,445,3282
893,445,3170
894,445,3143
895,266,3168
896,266,3226
897,266,3282
898,266,3170
899,266,3143
900,394,355
901,394,296
902,394,3435
903,394,308
904,394,268
905,339,355
906,339,296
907,339,3435
908,339,308
909,339,268
910,3632,355
911,3632,296
912,3632,3435
913,3632,308
914,3632,268
915,445,355
916,445,296
917,445,3435
918,445,308
919,445,268
920,266,355
921,266,296
922,266,3435
923,266,308
924,266,268
925,394,350
926,394,311
927,394,307
928,394,356
929,394,340
