taxi_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
74,405348,28,401742.0,94.0,401741.0,108.0,401994.0,147.0,402001.0,174.0
76,306218,40,306258.0,45.0,306259.0,55.0,306858.0,81.0,306852.0,84.0
78,802079,19,802080.0,40.0,102494.0,43.0,102533.0,50.0,101241.0,114.0
79,401545,130,404094.0,131.0,401611.0,136.0,401555.0,137.0,401548.0,167.0
80,307856,305,304863.0,307.0,304368.0,328.0,304247.0,364.0,304366.0,393.0
82,502994,219,503017.0,230.0,503018.0,265.0,503478.0,269.0,502992.0,345.0
85,302701,126,308348.0,153.0,302759.0,160.0,308369.0,160.0,303310.0,172.0
87,400170,64,404202.0,95.0,404189.0,106.0,404231.0,114.0,903095.0,143.0
91,307986,88,300774.0,118.0,300683.0,141.0,300682.0,144.0,300776.0,278.0
97,306930,181,306935.0,212.0,306934.0,214.0,306929.0,224.0,301933.0,231.0
98,502624,63,502623.0,132.0,502658.0,144.0,502625.0,182.0,502657.0,218.0
101,502345,24,502350.0,34.0,502371.0,52.0,502346.0,117.0,502372.0,122.0
106,302960,56,302914.0,86.0,801173.0,185.0,308263.0,240.0,901173.0,244.0
107,403772,48,405061.0,58.0,402670.0,124.0,401780.0,190.0,402856.0,201.0
108,300111,132,308183.0,191.0,300110.0,208.0,300026.0,214.0,306288.0,243.0
109,203875,216,203601.0,241.0,200359.0,256.0,200491.0,310.0,203838.0,349.0
111,305369,163,305431.0,189.0,305432.0,224.0,305370.0,227.0,308335.0,364.0
112,303845,123,303837.0,140.0,302278.0,214.0,801090.0,242.0,303844.0,275.0
115,201617,85,201644.0,97.0,203410.0,97.0,202519.0,108.0,201086.0,136.0
116,403681,36,403696.0,75.0,400613.0,104.0,403483.0,113.0,403682.0,121.0
118,200456,54,203831.0,87.0,200389.0,91.0,200457.0,123.0,202845.0,150.0
119,100922,112,100897.0,123.0,100896.0,176.0,100923.0,191.0,100741.0,200.0
120,405077,34,402769.0,99.0,405069.0,110.0,402741.0,176.0,404125.0,198.0
122,500143,362,500142.0,375.0,500102.0,400.0,500103.0,412.0,500140.0,440.0
123,305765,196,305700.0,206.0,305699.0,305.0,305764.0,306.0,305701.0,349.0
