taxi_id,subway_id1,time1,subway_id2,time2,subway_id3,time3,subway_id4,time4,subway_id5,time5
136,407,534,406,748,D05,799,408,903,107,1484
140,Q03,480,628,749,B08,1019,B06,4774,null,inf
143,124,453,123,608,125,940,A24,943,A22,998
146,R08,219,G20,492,R06,541,718,548,R09,548
147,218,290,219,366,614,393,217,581,613,688
148,F15,230,M19,268,M18,275,D22,286,F14,478
159,221,421,220,613,219,891,null,inf,null,inf
162,630,53,F11,308,723,496,F12,499,631,544
163,B10,53,R14,267,R13,378,D14,405,F12,551
165,D34,546,D33,592,null,inf,null,inf,null,inf
177,A50,239,A49,565,A51,682,J27,738,J28,756
179,R04,725,R03,781,null,inf,null,inf,null,inf
186,129,115,128,184,R18,401,130,418,R17,423
193,B04,687,B06,1235,null,inf,null,inf,null,inf
209,229,224,A38,306,M22,321,230,447,418,448
212,609,415,610,498,611,814,608,967,null,inf
217,M14,415,M16,474,G30,646,G31,702,M13,873
223,R01,625,null,inf,null,inf,null,inf,null,inf
227,R40,744,N02,792,B13,843,R39,854,B12,961
233,723,429,631,493,901,663,F11,809,630,840
235,410,662,409,682,411,933,D07,1006,D08,1155
237,628,153,B08,448,Q03,628,629,632,R11,635
238,120,221,121,354,A19,708,119,745,A20,781
241,405,392,D03,679,406,866,402,984,104,1441
243,A05,374,110,481,109,611,111,836,A06,874
246,726,273,A28,910,A30,993,null,inf,null,inf
248,610,504,609,573,611,820,608,901,213,954
262,Q04,382,626,690,Q05,887,null,inf,null,inf
263,Q04,274,626,591,Q05,874,627,994,null,inf
