bike_id,subway1,time1,subway2,time2,subway3,time3,subway4,time4,subway5,time5
474,R18,174,633,301,R19,364,632,447,R17,458
477,A27,99,725,167,127,187,R16,284,902,344
482,132,165,131,190,A31,224,D19,241,L01,259
483,L05,255,635,263,L03,303,636,334,R20,386
484,724,227,901,273,D16,403,631,433,D15,436
485,724,374,D17,396,R17,411,901,435,D16,453
492,128,16,R17,233,D17,247,129,300,A28,300
496,R20,223,D19,289,L03,290,635,334,L02,369
497,R20,154,L03,221,635,260,R19,371,634,381
498,R17,103,D17,117,R18,254,128,268,129,488
500,126,53,D14,193,A25,204,R15,239,R14,328
503,634,153,R19,355,635,359,R20,369,L03,401
505,R17,58,D17,73,128,211,R18,337,129,467
523,A28,244,A27,272,127,361,725,380,R16,421
524,D16,171,902,253,724,264,D15,326,R16,348
529,A27,97,725,337,127,367,902,369,R16,442
533,R16,144,127,226,725,253,902,265,D17,285
534,R27,66,142,117,140,139,420,271,M23,389
2008,420,311,R26,424,139,455,R27,460,142,482
2010,R23,259,135,304,A34,306,Q01,386,639,389
2021,A27,193,A25,340,902,415,R15,415,725,467
2023,630,263,F11,282,629,307,R11,383,F12,442
3121,719,218,G24,222,G22,243,F09,329,720,361
3126,G22,82,719,166,F09,173,718,438,R09,438
3128,F09,310,B04,402,719,417,718,505,R09,505
3232,233,160,R30,164,A42,208,234,216,R29,342
3235,901,76,631,237,724,249,723,301,D16,443
3402,423,267,232,337,R28,420,F20,442,A41,476
3427,D21,130,R22,157,638,175,637,177,M19,486
3429,235,71,D24,156,R31,156,234,327,G36,337
3435,D22,168,M19,257,M20,329,639,340,Q01,376
3440,232,82,423,111,A41,240,R28,258,R29,269
3443,D14,215,D15,258,B10,287,126,337,F12,366
3457,R13,240,629,366,F12,406,R11,441,B10,442
3458,B10,102,R14,239,D14,293,F12,420,R13,491
3461,137,189,A36,224,228,278,138,287,E01,304
3466,D15,187,D16,270,902,352,724,363,R15,394
3467,A33,253,R22,342,638,412,135,449,D21,494
3486,A42,106,233,262,R30,339,234,369,R29,444
3489,229,279,640,346,M22,349,A38,361,M21,381
3618,718,229,R09,229,G22,280,F09,324,719,325
3641,R19,161,R18,223,D18,327,634,367,633,407
3680,724,165,901,176,631,335,D16,380,723,409
