bike_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
3151,402347,64,402338,122,401877,128,401881,185,402348,185
3152,402689,63,402293,110,403432,126,402300,136,402688,161
3155,402835,67,803158,81,450051,169,403545,234,404171,242
3156,402296,51,803058,53,402351,54,402334,56,403726,138
3157,402345,224,404859,227,401909,230,401917,238,401910,281
3158,401102,43,400858,54,401348,74,404138,96,400747,100
3159,400856,81,403271,94,403472,108,403512,120,400857,131
3160,404024,44,401341,63,401250,76,404136,152,401342,158
3161,401096,116,403372,138,401023,250,401022,255,404024,271
3162,403165,58,403523,96,401893,106,403106,155,403166,168
3163,403981,109,401344,139,401345,172,401245,233,401343,259
3164,403606,51,401099,72,403611,77,403372,185,401100,188
3165,402269,57,401343,60,401248,69,403610,74,401344,105
3166,400852,70,400752,73,404289,135,403036,149,400853,156
3167,401022,70,403103,73,401021,74,903218,116,403612,120
3168,401337,58,401899,58,401253,59,401254,74,401338,102
3169,400848,40,404290,52,400847,93,400849,155,400756,173
3170,401094,59,401093,129,401898,173,404308,195,401253,209
3171,401025,52,401026,70,403107,153,403164,183,401024,193
3172,403372,42,403606,173,403611,179,401342,190,401099,196
3173,803056,99,405308,104,405112,124,403038,223,403487,236
3175,403555,67,403169,95,400750,130,403168,140,405237,149
3176,404826,74,405153,94,403488,137,403038,182,403487,183
3177,403108,51,403163,85,403107,115,401026,125,403162,154
3178,400755,61,403477,106,403522,114,400756,121,400849,138
3223,405488,129,405480,139,402838,160,402224,178,402215,204
3226,401252,58,401868,87,401339,89,401890,95,401338,112
3231,403506,93,403508,140,403422,151,903105,153,405489,173
3233,400515,83,402189,103,400516,113,400359,119,402171,132
3235,403457,27,404160,105,403805,115,400518,121,400561,135
3236,401852,58,401814,88,401497,97,803099,100,401407,130
3243,401704,26,405138,91,402217,107,402222,114,402328,162
3244,400336,39,400335,89,401561,105,401538,129,400337,162
3255,404847,61,401848,175,401819,178,401229,180,803098,187
3256,403854,315,403853,426,401302,466,404990,546,401301,585
3258,401401,23,401400,98,401503,219,403802,219,401402,222
3260,400155,105,400890,157,400154,168,405172,183,405361,231
3263,903147,60,403793,72,404010,86,903048,87,903148,90
3282,400118,78,400117,89,401925,137,400037,174,400116,215
3283,401092,63,401091,193,401335,211,401255,215,404320,219
3284,405066,116,401922,174,400037,209,403419,238,402696,247
3285,401027,53,401929,90,401897,101,403109,110,404320,136
3286,402696,57,405307,129,402697,168,405066,200,401921,241
3288,401716,114,401715,134,401919,175,401908,178,405307,198
3289,404320,83,401029,102,403160,169,403110,199,403111,199
3290,401910,57,401916,108,401917,111,403367,151,401716,172
3292,400116,29,400115,65,400117,176,400039,191,400038,201
3293,403159,17,403111,73,403158,96,403112,126,403160,134
3294,400038,120,404947,172,400037,212,400039,236,400116,276
3295,401937,54,401258,71,401259,87,401331,100,401333,133
3296,403342,53,405233,106,401749,159,403765,182,803182,192
3299,400041,81,404081,211,400042,225,401960,236,404191,242
3301,401090,84,401936,104,404075,115,403362,121,401091,201
3302,401087,47,401088,178,401086,182,402016,217,401037,226
3305,405233,47,403342,150,405307,155,402697,194,403383,208
3307,903004,119,401933,152,403158,154,404054,171,403112,195
3309,403777,24,401957,107,401942,116,401748,151,403632,154
3312,401718,66,403383,152,904918,207,405003,223,403342,227
3314,401965,104,401934,107,403112,115,405249,142,405248,143
3318,803182,4,401943,38,401749,66,401748,114,403632,117
3320,401261,41,401330,51,401329,115,401262,155,401331,194
3323,401327,40,401264,72,401085,79,401038,92,401326,124
3327,401946,12,401947,137,402816,178,403777,196,401747,221
3328,401088,129,401330,150,401261,158,401329,214,401262,272
3331,404130,37,404104,96,400768,98,400838,105,400837,221
3336,400041,64,401960,96,404191,102,401939,118,401961,130
3338,401747,96,401748,121,403632,146,401721,190,903102,207
3341,401262,35,401329,40,401261,75,401328,110,401330,149
3343,401470,64,402016,103,401084,104,401038,108,401085,127
3345,400042,70,400041,111,400043,158,400044,224,404081,240
3350,403155,36,403114,93,403154,139,403115,160,401033,193
3351,401722,45,401721,181,401968,208,903102,246,404091,253
3355,404994,33,400027,55,403508,106,405489,119,400028,122
3356,403513,47,401417,69,403489,103,403472,118,403512,153
3357,402017,27,401977,81,401435,87,401036,104,404911,108
3359,403495,49,400028,50,405489,52,403508,81,400029,107
3360,401024,60,403733,73,401023,84,403106,166,403523,170
3362,400034,65,400033,128,803162,182,401887,184,401901,197
3363,400043,112,400042,153,400044,175,401974,219,401973,240
3366,402018,72,403151,93,403117,95,405394,107,403152,120
3367,400110,72,400111,84,400043,132,400044,148,400109,167
3369,401878,134,402347,182,402338,184,401880,230,402346,256
3370,401756,39,401875,118,401883,120,402692,181,401758,190
3372,401710,104,401709,119,803159,149,403726,150,402295,171
3374,400225,47,400290,49,400289,111,400486,157,404278,188
3375,402300,44,403432,53,402293,58,402292,124,402299,139
3376,401762,67,402687,147,401763,149,403504,196,401761,198
3378,405392,141,404854,170,400031,183,400032,192,404858,276
3379,401973,38,401974,141,401947,149,403417,162,401948,204
3383,403150,27,400598,55,403119,63,400676,75,403151,110
3387,400045,2,404080,57,400046,109,400044,121,400109,159
3390,402704,41,403436,134,401971,174,402811,179,401743,204
3391,401951,18,401723,75,401969,97,401968,120,803066,192
3400,404856,42,400047,47,400048,106,403267,134,400292,160
3424,404076,0,404079,70,403417,71,401971,115,404077,124
3425,404091,53,401745,111,401970,162,401747,164,405347,165
3427,400083,124,402026,139,405361,158,404155,167,400081,173
3431,401840,115,401826,126,403427,141,402677,183,403821,199
3434,803043,131,403161,141,403560,154,403110,178,400760,195
3435,402867,113,402755,122,405269,188,402865,223,803192,258
3437,400843,23,400762,52,404054,139,404131,139,400761,142
3438,402691,64,402692,105,404854,180,401758,185,405369,210
